id	HR	HR.95L	HR.95H	pvalue
JUN	0.812244494188182	0.68457297772076	0.963726497846263	0.0171518870109261
PMAIP1	0.854300719945655	0.730707925774838	0.9987981440406	0.0482628169363865
BBC3	0.780537274670472	0.624339144918996	0.975813293316811	0.0296392974723822
TP53AIP1	0.209128359638448	0.0824043019997982	0.530732859131252	0.000990640246538716
TUBA3D	0.82642408440049	0.71268400797342	0.95831639216838	0.0116176939353608
TUBA1C	1.33916422534101	1.04760355764913	1.71186973291457	0.0197438665096814
BCL2A1	0.800370270614956	0.67668881045359	0.946657548031367	0.0093219367878838
EMP1	1.23486163079101	1.02629442441774	1.48581460730917	0.0254218262903904
LEF1	0.796622827389888	0.663688624489183	0.956183224636544	0.0146476058759568
GSN	0.76048990798335	0.61444713502598	0.941244359647102	0.011851902225671
BRCA1	1.28220131116933	1.01425492617957	1.62093390914747	0.0376813179722192
F2	6.04143184875712	1.48448698604611	24.5868768983893	0.0120170492572328
IL18	0.73971400298482	0.602336568245276	0.908423687118747	0.0040246122517402
IGFBP6	0.778533438998798	0.653591736733237	0.927359208469737	0.00503273282796565
TIMP1	0.81127910984124	0.671945470346146	0.979504771013254	0.0296034953671909
ISG20	0.777893197310716	0.619361318363546	0.977002935897109	0.0307687671847098
EGR3	0.842120092577718	0.735836141065823	0.963755666167623	0.0125504138664082
